title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
National Recovery Plan / B. Green energy and energy efficiency / B2. & B3.  Renewable energy,"<div><br></div><div>Under pillar Pillar B of the Polish National Recovery Plan ( ""Green energy and energy efficiency""), the ""B2. Renewable energies"" policy platform encompasses the following investments and support measures:</div><div> </div><div>B2.1 Improving conditions for the development of hydrogen technologies and other decarbonised gases </div><div>-Investment in hydrogen technologies, production, storage and transportation; it includes: </div><div>- Preparation of the Polish Hydropower Strategy until 2030 </div><div>- Amendment of acts (Electromobility and alternative fuels; fuel quality monitoring and control system) to encompass hydrogen as an alternative fuel in transport</div><div>- Construction of electrolysers (mostly using RES energy for hydrogen production)</div><div>- Development of infrastructures for transmission, distribution and transport of hydrogen. </div><div>- Building of storage facilities and hydrogen-powered transport units</div><div> </div><div>B2.2 Improving conditions for the development of renewable energy sources:</div><div>-Transmission grid development and smart electricity infrastructure</div><div>-Renewable energy installation among energy communities</div><div>-Construction of offshore terminal infrastructures</div>",In force,2022,National,International Energy Agency,,,https://www.gov.pl/web/planodbudowy/kpo-wyslany-do-komisji-europejskiej,Polish,1706602065628,"[{""iso3"":""POL"",""name"":""Poland""}]",[],"[""Hydrogen electrolysis technologies"",""Power transformation and distribution technologies"",""Heating, cooling and climate control technologies"",""Bioenergy supply and transformation technologies""]","[""Covid-related"",""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""}]"
Recovery and resilience plan / CTD / Hydrogen and renewables/ Energy transition in Azores,"<div>The European Commission endorsed Portugal's recovery plan, as part of the EU Recovery and Resilience Facility. The plan is composed of 20 different components that are structured in three main dimensions: Resilience, Climate transition, and Digital transition. </div><div> </div><div>This initiative is part of the component ""hydrogen and renewables"" (Component 14) from the climate transition dimension, with a total budget of 116 million EUR. </div><div> </div><div>To support the energy transition in Açores, the following measures are envisaged:</div><div>- Increase the potential of the installed capacity of geothermal energy and achieve 17 MW:  install a 5MW generator at the Ribeira Grande geothermal power plant, and expand the Pico Alto geothermal power plant. </div><div>- Increase the installed capacity of renewable energy in Corvo</div><div>- Install storage systems for electricity in the remaining 6 islands of RAA</div><div>- Increase the overall electricity installed capacity by 12.6 MW</div><div> </div>",In force,2021,National,International Energy Agency,,2025,https://www.portugal.gov.pt/download-ficheiros/ficheiro.aspx?v=%3d%3dBQAAAB%2bLCAAAAAAABAAzNDQzNgYA62SpeQUAAAA%3d,Portuguese,1648055690310,"[{""iso3"":""PRT"",""name"":""Portugal""}]",[],"[""Wind"",""Geothermal electricity"",""Energy storage technologies"",""Electricity generation and CHP technologies"",""Solar PV""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
"Economic Recovery and Resilience ""New Generation Lithuania"" / Green Transformation / Sustainable Electricity","<div>The Sustainable Electricity measure of the Green Transformation as part of the National Resilience and Recovery Plan is meant to promote production, transmission, and use of electricity consumption using the most cost effective technologies, improving institutional mechanisms, and providing incentives for businesses and citizens to invest. Lithuania will implement 242.39 million EUR from EU funding, 157.44 million from private entities and 55.716 million EUR from its national budget. Planned investments include onshore solar and wind power plants, a solar power park, and storage facilities.</div><div> </div>",In force,2021,National,International Energy Agency,,,https://finmin.lrv.lt/uploads/finmin/documents/files/Naujos%20kartos%20Lietuva_2021_05_14.pdf,,1669221025345,"[{""iso3"":""LTU"",""name"":""Lithuania""}]",[],"[""Power transformation and distribution technologies"",""Energy storage technologies"",""Electricity generation and CHP technologies""]","[""Covid-related"",""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""}]"
"ARPA-E, ONWARDS programme - Limiting the nuclear waste","<p>The US Department of Energy (DOE) announced a USD 40 million funding for a new Advanced Research Projects Agency-Energy (ARPA-E) program aims to limit the amount of waste produced by advanced nuclear reactors, protect the land and air, and increase the deployment of nuclear as a reliable source of energy. The funding will finance the Optimizing Nuclear Waste and Advanced Reactor Disposal Systems (ONWARDS) program, which is ARPA-E's first program working to identify transformative Advanced Nuclear Reactor (AR), used nuclear fuel (UNF) waste, and UNF disposal pathways. </p>",In force,2021,National,International Energy Agency,,,https://arpa-e.energy.gov/technologies/programs/onwards,,1649660599018,"[{""iso3"":""USA"",""name"":""United States""}]",[],"[""Nuclear"",""Nuclear waste management and decommissioning"",""Advanced fission reactors (incl. fast neutrons)"",""Electricity generation and CHP technologies""]","[""Covid-related"",""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Nuclear""},{""topic"":""Technology R&D and innovation"",""family"":""Resource push"",""name"":""Grants"",""category"":""Grants for R&D projects""}]"
"Economic Recovery and Resilience ""New Generation Lithuania"" / Green Transition / Increasing the production of local fuels for RES","<div>The increasing production of fuels for RES measure of the green transition part of the National Resilience and Recovery Plan aims to develop local fuels from renewable energy sources. Lithuania will invest 832.1 million EUR with EU funds to implement its Green Transition, with an additional 169.2 million EUR from alternative EU finance instruments, 257.44 million EUR from private legal entities and 45.26 million EUR from its national budget. <br><br>This policy will provide state aid for biomethane gas production installations, including biogas plants for natural gas networks and to vehicles, investment support from EU funding to develop production capacity for companies on biofuels, and development of 'green hydrogen' production. </div><div> </div><div> </div>",In force,2021,National,International Energy Agency,,,https://finmin.lrv.lt/uploads/finmin/documents/files/Naujos%20kartos%20Lietuva_2021_05_14.pdf,,1669221734469,"[{""iso3"":""LTU"",""name"":""Lithuania""}]",[],"[""Transport technologies"",""Vehicle type"",""Bioenergy supply and transformation technologies""]","[""Covid-related"",""Government Energy Spending""]","[{""topic"":""Fuels"",""family"":""Incentives and investments"",""name"":""Government spending in biofuels"",""category"":""Biogas""},{""topic"":""Fuels"",""family"":""Incentives and investments"",""name"":""Government spending in hydrogen"",""category"":null},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Fuels"",""family"":""Incentives and investments"",""name"":""Government spending in biofuels"",""category"":""Other""}]"
University Hydrogen Turbine System Research,"<div>The US Department of Energy announced USD 6.2 million in federal funding for eight university-led R&amp;D projects aimed at advancing hydrogen as a high-performing, efficient gas for turbine-based electricity generation. </div><div> </div><div>The projects, supported by the DOE Office of Fossil energy's “University Turbines System Research (UTSR)” program will study barriers to the performance and efficiency of combustion of turbines fuelled with pure hydrogen, hydrogen and natural gas mixtures, and other carbon-free hydrogen containing fuels.</div><div> </div><div> </div><div> </div>",In force,2021,National,International Energy Agency,,,https://www.energy.gov/articles/doe-awards-62-million-cutting-edge-research-efficient-hydrogen-gas-turbines,,1649660970041,"[{""iso3"":""USA"",""name"":""United States""}]",[],"[""Hydrogen"",""Combustion-based power generation"",""Electricity generation and CHP technologies""]","[""Covid-related"",""Government Energy Spending""]","[{""topic"":""Fuels"",""family"":""Incentives and investments"",""name"":""Government spending in hydrogen"",""category"":null},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""}]"
National Recovery and Resilience Plan -Advancing the Green Transition,"<div>Ireland's National Recovery and Resilience Plan is an investment plan contributing to a sustainable, equitable, green and digital recovery effort. Ireland is committed to a 7% per annum reduction in overall GHG emissions from 2021 to 2030 (51% reduction over the decade) and to achieving net zero emissions by 2050.  As a response to the severe health and economic crisis caused by COVID-19, Ireland's plan is set for 16 investments and 9 reform commitments totaling just under 1 billion euros, and is supported by grants from the Recovery and Resilience Facility and national funds. </div>",In force,2021,National,International Energy Agency,,2026,https://www.gov.ie/en/publication/d4939-national-recovery-and-resilience-plan-2021/,,1647598925344,"[{""iso3"":""IRL"",""name"":""Ireland""}]",[],[],"[""Covid-related"",""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Law No. 108 of 2011 on Special Measures Concerning the Procurement of Renewable Energy by Operators of Electric Utilities,"<div>The Act on Special Measures Concerning Procurement of Electricity from Renewable Energy Sources by Electricity Utilities (“Act on Renewable Energy Special Measures”) was published in 2011 and partially revised in 2020. <br><br>These revisions aim at: <br>(1) Establishing a Feed-in-Premium (FIP) scheme in addition to the existing FIT scheme, a new scheme in which renewable energy generators are able to receive a certain level of premium based on the market price. <br>(2) Establishing a system in which part of the expenditures for fortifying electricity grids necessary for expanding the introduction of renewable energy into businesses, e.g., regional interconnection lines, which regional electricity transmission/distribution businesses bear under the current Act, is to be supported based on the surcharge system across Japan. <br>(3) Imposing obligations on renewable energy generators to establish an external reserve fund for the expenditures for discarding their facilities for generating renewable energy as a measure for addressing concerns over inappropriate discarding of PV facilities.</div>",In force,2011,National,International Energy Agency,2011-08-30,,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/FIP_r5.html,,1741948662941,"[{""iso3"":""JPN"",""name"":""Japan""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Feed-in tariffs/premiums"",""category"":null}]"
Australian government support for solar hydro power plant in Mildura,"<div>The Australian government, through the Australian Renewable Energy Agency (ARENA) and its Advancing Renewables Program, is providing AUD 15 million to a concentrated solar project with thermal hydro storage. </div><div> </div><div>The flagship project has a 4 MW solar capacity and 3 MW / 50 MWh storage capacity. The manufacturing facility will also be expanded to allow for future project deployment. </div>",In force,2021,National,International Energy Agency,,,https://www.energy.gov.au/news-media/news/innovative-solar-hydro-tech-power-regional-victoria,English,1649165831170,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],"[""Thermal storage"",""Solar thermal electricity"",""Solar PV"",""Energy storage technologies"",""Electricity generation and CHP technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""}]"
Australian government support for hydrogen use in alumina refining,"<div>The Australian government will provide up to AUD 580 thousand through the Australian Renewable Energy Agency (ARENA) and in collaboration with Rio Tinto. </div><div> </div><div>The objectives is to assess hydrogen-fuelled calcination technology at Rio Tinto's Yarwun alumina refinery in Gladstone, Queensland.</div>",In force,2021,National,International Energy Agency,,,https://www.energy.gov.au/news-media/news/supporting-low-emissions-future-alumina-refining,,1668593642015,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Fuels"",""family"":""Incentives and investments"",""name"":""Government spending in hydrogen"",""category"":null},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""}]"
Bill on the prohibition of coal-fired thermoelectric plants,"<div>The Bill was drafted and presented in January 2020. It recognizes the impacts of emissions from coal-fired power plants as a risk to human health and to the environment. On June 22, 2021, the Bill was approved by the Chamber of Deputies.</div><div> </div><div>The installation and operation of coal-fired thermoelectric plants will be prohibited throughout the country. For power plants that are less than 30 years old, the ban will take effect on December 31, 2025.</div><div> </div>",In force,2021,National,International Energy Agency,2021-06-22,2025,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=13743&prmBOLETIN=13196-12,Spanish,1709030433290,"[{""iso3"":""CHL"",""name"":""Chile""}]",[],"[""Coal"",""Combustion-based power generation"",""Electricity generation and CHP technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Regional Microgrids Program,"<div>In October 2020, the Australian Government announced AUD 2.47 billion in funding for measures that aim to lower energy prices, reduce emissions and boost the economy.  As part of this initiative, the Program has been allocated AUD 50 million over six years (2020-21 to 2025-26) to support pilot projects for microgrids in regional Australia. </div><div> </div><div>The Program aims to support microgrid projects that: </div><div>- Have been found to be feasible through a feasibility study or equivalent investigation </div><div>- Include the deployment of equipment and technology solutions that enable the microgrid demonstration </div><div>- Demonstrate improved resilience and reliability of microgrids in regional areas </div><div>- Are capable of resolving remaining barriers to final investment and full deployment.</div>",In force,2023,National,International Energy Agency,2023-08-25,2025,https://arena.gov.au/funding/regional-australia-microgrid-pilots-ramp,,1741982878602,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null}]"
Safeguard Crediting Mechanism for large greenhouse gas emitters,"<div>In 2021, the Australian Government committed $279.9 million over 10 years to establish a ‘below-baseline crediting mechanism’ for facilities covered by the Safeguard Mechanism (recommended by the Expert Panel examining additional sources of low cost abatement - ‘the King Review’). The Safeguard Mechanism requires Australia's largest greenhouse gas emitters to keep their net emissions below an emissions limit (a baseline). The Safeguard Mechanism builds on the National Greenhouse and Energy Reporting scheme's reporting and record keeping requirements.<br><br>The crediting mechanism will reward facilities covered by the Safeguard Mechanism that reduce their emissions intensity by undertaking transformative abatement projects. This could help realise abatement opportunities that are not being accessed by the Emissions Reduction Fund and help drive the uptake of new low-emissions technologies in the industrial sector. The Government will consult on the design of the crediting mechanism.</div>",In force,2021,National,International Energy Agency,2021-05-11,,https://www.minister.industry.gov.au/ministers/taylor/media-releases/investing-reliable-affordable-energy-and-reducing-emissions-secure-australias-recovery,,1744103602436,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Industry"",""family"":""Incentives and investments"",""name"":""Government spending for energy efficiency and recycling"",""category"":null},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
Estonian Recovery and Resilience Plan - Renewable Energy in Electricity Grids,"<div>As part of the EU Recovery and Resilience plan submitted to the EU Commission, Estonia would allocate 45 million EUR from the Recovery and Resilience Facility to promote the usage of renewable energies, including 30 million EUR to strengthen electricity grids and increasing renewable energies' production capacity, anticipating the effects of climate change, as well as 7 million EUR for the introduction of renewable electricity generation equipment in industrial areas and 8 million EUR for energy storage. <br><br>As of June 2022, the Estonian government received 29 bids for the fourth minimum bid for renewable energy production, for the total production of 1201 GWh per annum. </div>",In force,2021,National,International Energy Agency,,,https://www.valitsus.ee/uudised/valitsus-kinnitas-pea-miljardi-euro-suuruse-taastekava,,1656496991192,"[{""iso3"":""EST"",""name"":""Estonia""}]",[],"[""Battery technologies"",""Energy storage technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending  in storage"",""category"":""Batteries""}]"
2021-27 Strategic Plan - Environmentally friendly energy solutions on small islands,"<div>As part of its of 2021-27 strategic plan, Estonia has laid out its main goals for its long-term strategy ""Estonia 2035"", which will be funded by several EU Funding programmes, such as the European Regional Development, the Cohesion Fund, the European Social Fund and the Fair Transition Fund. </div><div> </div><div>The plan will allocate specifically EUR 1.8 million to develop environmentally friendly energy solutions on small islands, which will also include funds from CO2 trading.</div><div> </div><div> </div>",In force,2021,National,International Energy Agency,,2027,https://rtk.ee/toetusfondid-ja-programmid/euroopa-liidu-valisvahendid/2021-2027-planeerimine#rohelisem-eesti,,1742996134000,"[{""iso3"":""EST"",""name"":""Estonia""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Renewable Energy Support Scheme (METAR) - 2021,"<div>The Hungarian Energy and Utilities Regulatory Authority (MEKH) announced a third METÁR tender aimed a supporting electricity production using renewable energy sources. The METÁR system was created in 2017 to enhance new power plants investments through green premium grants awarded within the framework of a tender procedure.</div>

<div> </div>

<div>MEKH announced the application in two categories in April 2021:</div>

<div>- For a capacity between 0.3 and 1 MW, allocation of up to HUF 200 million per year in subsidies for the production of 50 GWh of energy;</div>

<div>- For a larger capacity up to 20 GW, allocation of up to HUF 250 million per year in subsidies for the production of 250 GWh of energy </div>

<div> </div>

<div>The new call will provide support for a total of 300 GWh of electricity generation per year, thus contributing to the goal set in the Climate and Nature Protection Action Plan to increase the capacity of solar power plants six-fold in ten years. Tender dossiers can be submitted from 1 July 2021 to 30 July 2021. </div>

<div> </div>",In force,2021,National,International Energy Agency,2021,2021,http://mekh.hu/julius-elsejen-nyilik-a-metar-tender-benyujtasi-szakasza,Hungarian,1635507700000,"[{""iso3"":""HUN"",""name"":""Hungary""}]",[],"[""Electricity generation and CHP technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
German Development and Resilience Plan (DARP) / 1.2 Climate-friendly mobility,"<div>The component 1.2 of the German recovery and Resilience Plan is related to climate-friendly mobility and contains measures for the transport sector, in order to make it compatible with the country's climate protection targets. The objective is to support the integration of new technologies in the long term, and make the transport sector more energy-efficient and low-carbon. </div><div> </div><div>This component includes a package of 6 investments and one reform, listed below:</div><div> </div><div>1.2.1 Subsidies for the construction of refuelling and charging infrastructure: EUR 700 million (2021-2024)</div><div> </div><div>1.2.2 Electromobility funding guidelines: EUR 75 million (2021-2022)</div><div> </div><div>1.2.3 Innovation bonus (""Innovation premium"") to promote the sale of electric vehicles (EV) - superseding the investments already made in the Package for the Future: EUR 2.5 billion (2021-2022)</div><div> </div><div>1.2.4 Reform to extend the initial registration period for the granting of a 10-year tax exemption for all Evs: EUR 295 million (2021-2025)</div><div> </div><div>1.2.5 Promotion of the purchase of buses using alternative energies: EUR 1085 million (2021-2025)</div><div> </div><div>1.2.6 Subsidies to promote alterative energies in rail transport: EUR 227 million (2023-2025)</div><div> </div><div>1.2.7 Promotion of hydrogen and fuel cell applications in the vehicle and supplier industry: EUR 546 million (2021-2025)</div>",Ended,2021,National,International Energy Agency,,2025,https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Europa/DARP/2-02-klimafreundliche-mobilitaet.pdf?__blob=publicationFile&v=5,German,1743578982703,"[{""iso3"":""DEU"",""name"":""Germany""}]",[],"[""Industry sector-specific processes and technologies"",""Manufacuturing technologies and systems"",""Refuelling and charging infrastructure"",""Vehicle type"",""Transport technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending for low-emissions and efficient transport"",""category"":""Light-duty vehicles""},{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending for low-emissions and efficient transport"",""category"":""Buses""}]"
German Development and Resilience Plan (DARP) / 1.1 Decarbonisation,"<div>In the framework of the EU Recovery and resilience facility, Germany submitted its national Construction and Resilience plan to the European Commission. </div><div> </div><div>The component 1.1 of the German development and resilience plan tackles decarbonisation, mainly through financing green hydrogen projects. This component includes:</div><div> </div><div>1.1.1 Hydrogen projects under Important Project of Common European Interest (IPCEI) (EUR 1 500 million)</div><div>1.1.2 Support program for decarbonisation in industry (EUR 449 million)</div><div>1.1.3 Pilot program for climate protection treaties (EUR 550 million)</div><div>1.1.4 Climate protection research (EUR 60 million)</div><div>1.1.5 Leading projects for research and innovation for the national hydrogen strategy (EUR 700 million)</div>",Ended,2021,National,International Energy Agency,,2026,https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Europa/DARP/2-01-dekarbonisierung.pdf?__blob=publicationFile&v=5,German,1722849378395,"[{""iso3"":""DEU"",""name"":""Germany""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""}]"
Recovery and resilience plan/1.2. Improving energy efficiency,"<div>In the framework of the EU Recovery and Resilience Facility, Latvia submitted its national Recovery and Resilience Plan to the European Commission. </div><div> </div><div>The component 1.2 of the Latvian Recovery and Resilience Plan tackles the buildings and electricity sectors and includes five investments: </div><div> </div><div>1.2.1 Improving the energy efficiency of apartment buildings and the transition to the use of renewable energy technologies (EUR 57.3 million)</div><div>1.2.2 Increasing energy efficiency in business, which is planned to be implemented nationally in the form of a combined financial instrument (EUR 120.6 million)</div><div>1.2.3 Improving municipal buildings and infrastructure by facilitating the transition to renewable energy technologies and improving energy efficiency (EUR 29.3 million)</div><div>1.2.4 Improving energy efficiency in public sector buildings, incl. in historic buildings (EUR 24.0 million)</div><div>1.2.5 Modernisation of electricity transmission and distribution networks (EUR 80 million)</div>",In force,2021,National,International Energy Agency,2021-06-22,2026,http://www.esfondi.lv/upload/anm/01_anm_plans_04062021.pdf,,1647619489647,"[{""iso3"":""LVA"",""name"":""Latvia""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null},{""topic"":""Buildings"",""family"":""Incentives and investments"",""name"":""Government spending for energy-efficient buildings"",""category"":""Existing buildings""}]"
Cyprus Recovery and Resilience plan,"<div>In response to the Covid-19 pandemic and economic crisis, the government of Cyprus unveileld their recovery and resilience plan, aiming for a long term and green recovery. The plan, as endorsed by the EU Commission, includes 1 billion EUR in grants and 200 million EUR in loans. 41% of the plan's total allocation for reforms and investments will be used to support climate objectives, above the EU's minimum share at 37%. </div>

<div> </div>

<div>The green transition will be shaped by : </div>

<div>-green taxation, introducing a cabron tax for fuels. </div>

<div>-energy efficiency and renewables, financing various support schemes to implement energy efficiency measures and renewable energy investments, as well as combating energy poverty (89 million EUR) </div>

<div>-energy interconnector: contributing to the EuroAsia interconnector project, which will connect Cyprus to the EU electricity network and boost renewable energy production (100 million EUR) </div>

<div>-promoting sustainable and green mobility: encouraging a shift from private cars to public transport, cycling, walking, and promoting the use of clean vehicles (91 million EUR). </div>",In force,2021,National,International Energy Agency,08-07-2021,2026,http://www.cyprus-tomorrow.gov.cy/cypresidency/kyprostoavrio.nsf/all/B37B4D3AC1DB73B6C22586DA00421E05/$file/Cyprus%20RRP%20For%20Upload%2020052021.pdf?openelement,English,1635322970000,"[{""iso3"":""CYP"",""name"":""Cyprus""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null}]"
Recovery and Resilience Plan / 1. Green transition / Renewable energy sources and energy efficiency in the economy,"<div>The first component of the Green transition part in Slovenia's Recovery Resilience Plan concerns renewable energy sources (RES) and energy efficiency. It includes the following measures:</div>

<div>- Energy efficient restructuring of RES-powered district energy systems using new technologies, EUR 11 million;</div>

<div>- Production of electricity from RES, EUR 50 million;</div>

<div>- Strengthening the electricity distribution network, EUR 80 million;</div>

<div>- Investments to increase energy efficiency in the economy, EUR 5 million.</div>

<div> </div>

<div>The total budget of the component is EUR 146 million, or EUR 46 million in grants and EUR 100 million in loans. </div>",In force,2021,National,International Energy Agency,2021,2027,https://www.eu-skladi.si/sl/dokumenti/po-2020/dokumenti-po-2020/povzetek-noo_angl.pdf,,1634055995000,"[{""iso3"":""SVN"",""name"":""Slovenia""}]",[],"[""Electricity generation and CHP technologies""]","[""Government Energy Spending""]","[{""topic"":""Industry"",""family"":""Incentives and investments"",""name"":""Government spending for energy efficiency and recycling"",""category"":null},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null}]"
Resolution 286 on pricing of greenhouse gas emissions,"<div>The government of Israel announced the plan to introduce a carbon tax at slowly increasing level from 2023 to 2028 through a statement approved by the Tax Authority and the Finance, Energy, Environmental Protection and Economy ministries. </div><div> </div><div>The nation’s first carbon tax will be applied to coal, liquified petroleum gas, fuel oil, petcoke and gas and is expected to cover about 80% of greenhouse gas emissions by 2028. However, the tax would not be introduced if the electricity price would rise by more than 5% through 2028. Additionally, diesel and gasoline will not be taxed any further as part of the scheme, due to existing levies. </div><div> </div><div>At a later stage, the tax will cover the emissions from other sources of global warming gases, such as garbage dumps, responsible for 8% of Israel’s GHG emissions, and cooling gases used in air conditioning systems, refrigerators, and refrigerated vehicles, which account for 7% of GHG emissions.</div>",Announced,2023,National,International Energy Agency,2021-08-01,2028,https://www.gov.il/he/departments/policies/dec286_2021,English,1711631658242,"[{""iso3"":""ISR"",""name"":""Israel""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
Germany's Special Climate and Transformation Fund - Industrial production for mobile and stationary energy storage systems,"<div>In the framework of the Germany's Special Climate and Transformation Fund (KTF), Germany earmarked funds to foster the production of batteries and other energy storage technologies.</div>",In force,2021,National,International Energy Agency,,,https://www.bmwi.de/Redaktion/EN/Pressemitteilungen/2021/09/20210908-funding-approval-notice-for-battery-cell-production.html,,1725112896611,"[{""iso3"":""DEU"",""name"":""Germany""}]",[],"[""Battery technologies"",""Energy storage technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending  in storage"",""category"":""Batteries""}]"
Electrical Network Standardization Programme,"<div>The Electrical Network Standardization Programme contains 75 projects to be executed in the departments of Magdalena, Meta, Atlántico, Arauca and La Guajira. The resources allocated will allow for 1,000 new transformers, 9,300 poles, and 300 km of medium and low voltage networks. </div>",In force,2022,National,International Energy Agency,2022-03-14,,https://www.minenergia.gov.co/es/sala-de-prensa/noticias-index/programa-de-normalizaci%C3%B3n-de-redes-el%C3%A9ctricas-aprob%C3%B3-48-proyectos-en-5-departamentos/,,1741273740304,"[{""iso3"":""COL"",""name"":""Colombia""}]",[],"[""Power transformation and distribution technologies"",""Transformers and substations"",""Cables and conductors""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null}]"
Report on the Implementation of China's Fiscal Policy in the First Half of 2021,"<div>The Report on the Implementation of China's Fiscal Policy in the First Half of 2021 issued by the Ministry of Finance contains the following objectives and orientations :</div><div>1. In 2021, the subsidy standard for new energy vehicles will be reduced by 20% from the 2020 level.</div><div>2. Optimize the renewable energy power generation subsidy policy, issue a renewable energy tariff additional subsidy with a budget of 89 billion CNY to support solar PV, wind power and other renewable energy power generation.</div><div>3. From 2021, new centralized photovoltaic power plants, industrial and commercial distributed photovoltaic projects and onshore wind power projects will enter a new phase of large-scale promotion and application.</div><div>4. Reduction of subsidies for biomass power generation projects that do not meet emission standards.</div><div>5. Support unconventional natural gas extraction.</div><div>6. Issued clean energy development special funds budget of 6.01 billion CNY for 2021, to take incremental assessment of the ladder of incentives to encourage local and corporate gas production.</div>",In force,2021,National,International Energy Agency,2021-08-27,,http://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/202108/t20210827_3748539.htm,,1685005119983,"[{""iso3"":""CHN"",""name"":""People's Republic of China""}]",[],[],"[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
